,Lon,Lat,Depth
59907494,-5.44374999999999,56.0020833333333,-3.35199999809265
59907495,-5.43958333333333,56.0020833333333,-7.5310001373291
59907496,-5.43541666666667,56.0020833333333,-8.0600004196167
59907497,-5.43125000000001,56.0020833333333,-10.5059995651245
59907498,-5.42708333333334,56.0020833333333,-13.2110004425049
59907499,-5.42291666666668,56.0020833333333,-13.4709997177124
59907500,-5.41874999999999,56.0020833333333,-11.7869997024536
59907501,-5.41458333333333,56.0020833333333,-12.3170003890991
59907502,-5.41041666666666,56.0020833333333,-9.57299995422363
59907505,-5.39791666666667,56.0020833333333,-4.26300001144409
59907506,-5.39375000000001,56.0020833333333,-9.34099960327148
59907507,-5.38958333333335,56.0020833333333,-8.95600032806396
59907508,-5.38541666666666,56.0020833333333,-8.1269998550415
59907509,-5.38124999999999,56.0020833333333,-7.77799987792969
59907510,-5.37708333333333,56.0020833333333,-7.625
59907511,-5.37291666666667,56.0020833333333,-9.625
59907512,-5.36875000000001,56.0020833333333,-24.25
59907513,-5.36458333333334,56.0020833333333,-33.9749984741211
59907514,-5.36041666666668,56.0020833333333,-39.4749984741211
59907515,-5.35624999999999,56.0020833333333,-39.9500007629395
59907516,-5.35208333333333,56.0020833333333,-25.1000003814697
59907517,-5.34791666666666,56.0020833333333,-7.93499994277954
59907518,-5.34375,56.0020833333333,-7.9210000038147
59907519,-5.33958333333334,56.0020833333333,-3.08699989318848
59907521,-5.33125000000001,56.0020833333333,-3.73499989509583
59907570,-5.12708333333333,56.0020833333333,-0.490000009536743
59907571,-5.12291666666667,56.0020833333333,-8.90999984741211
59917095,-5.43958333333333,56.00625,-1.08899998664856
59917096,-5.43541666666667,56.00625,-3.9760000705719
59917097,-5.43125000000001,56.00625,-5.63100004196167
59917098,-5.42708333333334,56.00625,-6.43800020217896
59917099,-5.42291666666668,56.00625,-5.60799980163574
59917100,-5.41874999999999,56.00625,-3.08200001716614
59917101,-5.41458333333333,56.00625,-3.26300001144409
59917108,-5.38541666666666,56.00625,-0.123999997973442
59917109,-5.38124999999999,56.00625,-10.0059995651245
59917110,-5.37708333333333,56.00625,-10.4630002975464
59917111,-5.37291666666667,56.00625,-11.9499998092651
59917112,-5.36875000000001,56.00625,-13.8500003814697
59917113,-5.36458333333334,56.00625,-28
59917114,-5.36041666666668,56.00625,-39.875
59917115,-5.35624999999999,56.00625,-37.173999786377
59917116,-5.35208333333333,56.00625,-9.78299999237061
59917117,-5.34791666666666,56.00625,-8.91600036621094
59917118,-5.34375,56.00625,-10.8199996948242
59917119,-5.33958333333334,56.00625,-11.0129995346069
59917120,-5.33541666666667,56.00625,-13.6499996185303
59917121,-5.33125000000001,56.00625,-15.3999996185303
59917122,-5.32708333333335,56.00625,-12.3000001907349
59926695,-5.43958333333333,56.0104166666667,-1.43499994277954
59926696,-5.43541666666667,56.0104166666667,-3.94700002670288
59926697,-5.43125000000001,56.0104166666667,-1.50600004196167
59926710,-5.37708333333333,56.0104166666667,-9.88300037384033
59926711,-5.37291666666667,56.0104166666667,-9.73600006103516
59926712,-5.36875000000001,56.0104166666667,-10.6000003814697
59926713,-5.36458333333334,56.0104166666667,-30.4500007629395
59926714,-5.36041666666668,56.0104166666667,-56.6749992370605
59926715,-5.35624999999999,56.0104166666667,-55.7750015258789
