"","Ingredient","Parameter","As.fed","Unit"
"1","whey-permeate","C16:0 palmitic acid",0.361855,"%"
"2","whey-permeate","C18:1 oleic acid",0.267995,"%"
"3","whey-permeate","C18:2 linoleic acid",0.0494,"%"
"4","whey-permeate","C18:3 linolenic acid",0.01235,"%"
"5","whey-permeate","C20:4 arachidonic acid",0,"%"
"6","whey-permeate","C20:5 eicosapentaenoic acid",0,"%"
"7","whey-permeate","C22:5 docosapentaenoic acid",0,"%"
"8","whey-permeate","C22:6 docosahexaenoic acid",0,"%"
"9","whey-permeate","Fatty acids",1.17325,"%"
"10","maize","C16:0 palmitic acid",0.32508,"%"
"11","maize","C18:1 oleic acid",0.808056,"%"
"12","maize","C18:2 linoleic acid",1.84212,"%"
"13","maize","C18:3 linolenic acid",0.040248,"%"
"14","maize","C20:4 arachidonic acid",0,"%"
"15","maize","C20:5 eicosapentaenoic acid",0,"%"
"16","maize","C22:5 docosapentaenoic acid",0,"%"
"17","maize","C22:6 docosahexaenoic acid",0,"%"
"18","maize","Fatty acids",2.66256,"%"
"19","corn-gluten-feed","C16:0 palmitic acid",0.231,"%"
"20","corn-gluten-feed","C18:1 oleic acid",0.5742,"%"
"21","corn-gluten-feed","C18:2 linoleic acid",1.309,"%"
"22","corn-gluten-feed","C18:3 linolenic acid",0.0286,"%"
"23","corn-gluten-feed","C20:4 arachidonic acid",0,"%"
"24","corn-gluten-feed","C20:5 eicosapentaenoic acid",0,"%"
"25","corn-gluten-feed","C22:5 docosapentaenoic acid",0,"%"
"26","corn-gluten-feed","C22:6 docosahexaenoic acid",0,"%"
"27","corn-gluten-feed","Fatty acids",1.936,"%"
"28","corn-gluten-meal","C16:0 palmitic acid",0.4914,"%"
"29","corn-gluten-meal","C18:1 oleic acid",1.22148,"%"
"30","corn-gluten-meal","C18:2 linoleic acid",2.7846,"%"
"31","corn-gluten-meal","C18:3 linolenic acid",0.06084,"%"
"32","corn-gluten-meal","C20:4 arachidonic acid",0,"%"
"33","corn-gluten-meal","C20:5 eicosapentaenoic acid",0,"%"
"34","corn-gluten-meal","C22:5 docosapentaenoic acid",0,"%"
"35","corn-gluten-meal","C22:6 docosahexaenoic acid",0,"%"
"36","corn-gluten-meal","Fatty acids",3.6504,"%"
"37","fish-meal-protein-65","C16:0 palmitic acid",1.195448,"%"
"38","fish-meal-protein-65","C18:1 oleic acid",0.826068,"%"
"39","fish-meal-protein-65","C18:2 linoleic acid",0.141036,"%"
"40","fish-meal-protein-65","C18:3 linolenic acid",0.127604,"%"
"41","fish-meal-protein-65","C20:4 arachidonic acid",0.161184,"%"
"42","fish-meal-protein-65","C20:5 eicosapentaenoic acid",0.60444,"%"
"43","fish-meal-protein-65","C22:5 docosapentaenoic acid",0.174616,"%"
"44","fish-meal-protein-65","C22:6 docosahexaenoic acid",0.443256,"%"
"45","fish-meal-protein-65","Fatty acids",4.90268,"%"
"46","fish-meal-protein-70","C16:0 palmitic acid",1.182454,"%"
"47","fish-meal-protein-70","C18:1 oleic acid",0.817089,"%"
"48","fish-meal-protein-70","C18:2 linoleic acid",0.139503,"%"
"49","fish-meal-protein-70","C18:3 linolenic acid",0.126217,"%"
"50","fish-meal-protein-70","C20:4 arachidonic acid",0.159432,"%"
"51","fish-meal-protein-70","C20:5 eicosapentaenoic acid",0.59787,"%"
"52","fish-meal-protein-70","C22:5 docosapentaenoic acid",0.172718,"%"
"53","fish-meal-protein-70","C22:6 docosahexaenoic acid",0.438438,"%"
"54","fish-meal-protein-70","Fatty acids",4.84939,"%"
"55","fish-oil-anchovy","C16:0 palmitic acid",17.8,"%"
"56","fish-oil-anchovy","C18:1 oleic acid",12,"%"
"57","fish-oil-anchovy","C18:2 linoleic acid",1.1,"%"
"58","fish-oil-anchovy","C18:3 linolenic acid",0.8,"%"
"59","fish-oil-anchovy","C20:4 arachidonic acid",0.3,"%"
"60","fish-oil-anchovy","C20:5 eicosapentaenoic acid",18.3,"%"
"61","fish-oil-anchovy","C22:5 docosapentaenoic acid",1.5,"%"
"62","fish-oil-anchovy","C22:6 docosahexaenoic acid",8.5,"%"
"63","fish-oil-anchovy","Fatty acids",100,"%"
"64","fish-oil-menhaden","C16:0 palmitic acid",20.9,"%"
"65","fish-oil-menhaden","C18:1 oleic acid",13,"%"
"66","fish-oil-menhaden","C18:2 linoleic acid",1.1,"%"
"67","fish-oil-menhaden","C18:3 linolenic acid",0.8,"%"
"68","fish-oil-menhaden","C20:4 arachidonic acid",0.6,"%"
"69","fish-oil-menhaden","C20:5 eicosapentaenoic acid",12.2,"%"
"70","fish-oil-menhaden","C22:5 docosapentaenoic acid",1.7,"%"
"71","fish-oil-menhaden","C22:6 docosahexaenoic acid",7.9,"%"
"72","fish-oil-menhaden","Fatty acids",100,"%"
"73","fish-oil-herring","C16:0 palmitic acid",12.7,"%"
"74","fish-oil-herring","C18:1 oleic acid",12.9,"%"
"75","fish-oil-herring","C18:2 linoleic acid",1.1,"%"
"76","fish-oil-herring","C18:3 linolenic acid",0.7,"%"
"77","fish-oil-herring","C20:4 arachidonic acid",0.3,"%"
"78","fish-oil-herring","C20:5 eicosapentaenoic acid",6.8,"%"
"79","fish-oil-herring","C22:5 docosapentaenoic acid",0.8,"%"
"80","fish-oil-herring","C22:6 docosahexaenoic acid",5.8,"%"
"81","fish-oil-herring","Fatty acids",100,"%"
"82","fish-oil-capelin","C16:0 palmitic acid",10.7,"%"
"83","fish-oil-capelin","C18:1 oleic acid",16.1,"%"
"84","fish-oil-capelin","C18:2 linoleic acid",1.2,"%"
"85","fish-oil-capelin","C18:3 linolenic acid",0.3,"%"
"86","fish-oil-capelin","C20:4 arachidonic acid",0.1,"%"
"87","fish-oil-capelin","C20:5 eicosapentaenoic acid",3.7,"%"
"88","fish-oil-capelin","C22:5 docosapentaenoic acid",0.3,"%"
"89","fish-oil-capelin","C22:6 docosahexaenoic acid",2,"%"
"90","fish-oil-capelin","Fatty acids",100,"%"
"91","fish-oil-sardine","C16:0 palmitic acid",16.2,"%"
"92","fish-oil-sardine","C18:1 oleic acid",11.4,"%"
