Source,Ingredient,Type,Composition,Unit
feedtables.com,Fishmeal_65,Dry matter,92.1,%
feedtables.com,Fishmeal_65,Crude protein,65.2,%
feedtables.com,Fishmeal_65,Crude fibre,0,%
feedtables.com,Fishmeal_65,"Crude fat, hydrolysis",9.2,%
feedtables.com,Fishmeal_65,Ash,16.8,%
feedtables.com,Fishmeal_65,Insoluble ash,0.5,%
feedtables.com,Fishmeal_65,Starch,0,%
feedtables.com,Fishmeal_65,Total sugars,0,%
feedtables.com,Fishmeal_65,NFE,0,%
feedtables.com,Fishmeal_65,Calcium,41.2,g/kg
feedtables.com,Fishmeal_65,Phosphorus,26.4,g/kg
feedtables.com,Fishmeal_65,Magnesium,2.2,g/kg
feedtables.com,Fishmeal_65,Potassium,7.9,g/kg
feedtables.com,Fishmeal_65,Sodium,10.52,g/kg
feedtables.com,Fishmeal_65,Chlorine,16.2,g/kg
feedtables.com,Fishmeal_65,Sulfur,7.1,g/kg
feedtables.com,Fishmeal_65,Manganese,16,mg/kg
feedtables.com,Fishmeal_65,Zinc,99,mg/kg
feedtables.com,Fishmeal_65,Copper,11,mg/kg
feedtables.com,Fishmeal_65,Iron,351,mg/kg
feedtables.com,Fishmeal_65,Selenium,0.4,mg/kg
feedtables.com,Fishmeal_65,Cobalt,0.09,mg/kg
feedtables.com,Fishmeal_65,Molybdenum,0.2,mg/kg
feedtables.com,Fishmeal_65,Iodine,2,mg/kg
feedtables.com,Fishmeal_65,Minerals,11.199969,%
feedtables.com,Soybean_protein_concentrate_70_90,Dry matter,92.7,%
feedtables.com,Soybean_protein_concentrate_70_90,Crude protein,77.5,%
feedtables.com,Soybean_protein_concentrate_70_90,Crude fibre,1.2,%
feedtables.com,Soybean_protein_concentrate_70_90,Crude fat,2.3,%
feedtables.com,Soybean_protein_concentrate_70_90,Ash,4.3,%
feedtables.com,Soybean_protein_concentrate_70_90,Insoluble ash,0.03,%
feedtables.com,Soybean_protein_concentrate_70_90,NDF,5.2,%
feedtables.com,Soybean_protein_concentrate_70_90,ADF,1.9,%
feedtables.com,Soybean_protein_concentrate_70_90,Water insoluble cell walls,11.6,%
feedtables.com,Soybean_protein_concentrate_70_90,Starch,4.6,%
feedtables.com,Soybean_protein_concentrate_70_90,Total sugars,0.7,%
feedtables.com,Soybean_protein_concentrate_70_90,NFE,,%
feedtables.com,Soybean_protein_concentrate_70_90,Calcium,2.8,g/kg
feedtables.com,Soybean_protein_concentrate_70_90,Phosphorus,6,g/kg
feedtables.com,Soybean_protein_concentrate_70_90,Phytate phosphorus,3.6,g/kg
feedtables.com,Soybean_protein_concentrate_70_90,Magnesium,1.9,g/kg
feedtables.com,Soybean_protein_concentrate_70_90,Potassium,15.9,g/kg
feedtables.com,Soybean_protein_concentrate_70_90,Sodium,2.56,g/kg
feedtables.com,Soybean_protein_concentrate_70_90,Sulfur,4.4,g/kg
feedtables.com,Soybean_protein_concentrate_70_90,Manganese,9,mg/kg
feedtables.com,Soybean_protein_concentrate_70_90,Zinc,61,mg/kg
feedtables.com,Soybean_protein_concentrate_70_90,Copper,15,mg/kg
feedtables.com,Soybean_protein_concentrate_70_90,Iron,88,mg/kg
feedtables.com,Soybean_protein_concentrate_70_90,Cobalt,0.1,mg/kg
feedtables.com,Soybean_protein_concentrate_70_90,Minerals,3.73331,%
feedtables.com,Soybean_meal_oil_5_46_proteinoil,Dry matter,87.7,%
feedtables.com,Soybean_meal_oil_5_46_proteinoil,Crude protein,43.5,%
feedtables.com,Soybean_meal_oil_5_46_proteinoil,Crude fibre,6.3,%
feedtables.com,Soybean_meal_oil_5_46_proteinoil,Crude fat,1.7,%
feedtables.com,Soybean_meal_oil_5_46_proteinoil,Ash,6.5,%
feedtables.com,Soybean_meal_oil_5_46_proteinoil,Insoluble ash,0.2,%
feedtables.com,Soybean_meal_oil_5_46_proteinoil,NDF,13,%
feedtables.com,Soybean_meal_oil_5_46_proteinoil,ADF,7.8,%
feedtables.com,Soybean_meal_oil_5_46_proteinoil,Lignin,0.7,%
feedtables.com,Soybean_meal_oil_5_46_proteinoil,Water insoluble cell walls,18.9,%
feedtables.com,Soybean_meal_oil_5_46_proteinoil,Starch,6,%
feedtables.com,Soybean_meal_oil_5_46_proteinoil,Total sugars ,9.3,%
feedtables.com,Soybean_meal_oil_5_46_proteinoil,NFE,15.3,%
feedtables.com,Soybean_meal_oil_5_46_proteinoil,Calcium,3.4,g/kg
feedtables.com,Soybean_meal_oil_5_46_proteinoil,Phosphorus,6.2,g/kg
feedtables.com,Soybean_meal_oil_5_46_proteinoil,Phytate phosphorus,3.7,g/kg
feedtables.com,Soybean_meal_oil_5_46_proteinoil,Magnesium,2.9,g/kg
feedtables.com,Soybean_meal_oil_5_46_proteinoil,Potassium,21.5,g/kg
feedtables.com,Soybean_meal_oil_5_46_proteinoil,Sodium,0.08,g/kg
feedtables.com,Soybean_meal_oil_5_46_proteinoil,Chlorine,0.4,g/kg
feedtables.com,Soybean_meal_oil_5_46_proteinoil,Manganese,32,mg/kg
feedtables.com,Soybean_meal_oil_5_46_proteinoil,Zinc,36,mg/kg
feedtables.com,Soybean_meal_oil_5_46_proteinoil,Copper,14,mg/kg
feedtables.com,Soybean_meal_oil_5_46_proteinoil,Minerals,3.8262,%
feedtables.com,Wheat_gluten,Dry matter,93.8,%
feedtables.com,Wheat_gluten,Crude protein,80.2,%
feedtables.com,Wheat_gluten,Crude fibre,0.7,%
feedtables.com,Wheat_gluten,Crude fat,1.5,%
feedtables.com,Wheat_gluten,Ash,0.8,%
feedtables.com,Wheat_gluten,NDF,0.4,%
feedtables.com,Wheat_gluten,ADF,0.6,%
feedtables.com,Wheat_gluten,Lignin,0.3,%
feedtables.com,Wheat_gluten,Water insoluble cell walls,9.1,%
feedtables.com,Wheat_gluten,Starch,5.4,%
feedtables.com,Wheat_gluten,Total sugars,0,%
feedtables.com,Wheat_gluten,NFE,5.4,%
feedtables.com,Wheat_gluten,Calcium,1,g/kg
feedtables.com,Wheat_gluten,Phosphorus,1.9,g/kg
feedtables.com,Wheat_gluten,Phytate phosphorus,0.4,g/kg
feedtables.com,Wheat_gluten,Magnesium,0.3,g/kg
feedtables.com,Wheat_gluten,Potassium,1.3,g/kg
feedtables.com,Wheat_gluten,Sodium,0.18,g/kg
feedtables.com,Wheat_gluten,Sulfur,7.5,mg/kg
feedtables.com,Wheat_gluten,Manganese,15,mg/kg
feedtables.com,Wheat_gluten,Zinc,30,mg/kg
feedtables.com,Wheat_gluten,Copper,40,mg/kg
feedtables.com,Wheat_gluten,Iron,41,mg/kg
feedtables.com,Wheat_gluten,Minerals,0.52135,%
feedtables.com,Pea_protein_concentrate,Dry matter,93,%
feedtables.com,Pea_protein_concentrate,Crude protein,78.2,%
feedtables.com,Pea_protein_concentrate,Crude fibre,0.3,%
feedtables.com,Pea_protein_concentrate,Crude fat,4.4,%
feedtables.com,Pea_protein_concentrate,Ash,3.9,%
feedtables.com,Pea_protein_concentrate,NDF,1.2,%
feedtables.com,Pea_protein_concentrate,ADF,0.3,%
feedtables.com,Pea_protein_concentrate,Lignin,0.2,%
feedtables.com,Pea_protein_concentrate,Water insoluble cell walls,11.1,%
feedtables.com,Pea_protein_concentrate,Starch,0.4,%
feedtables.com,Pea_protein_concentrate,Total sugars,2,%
feedtables.com,Pea_protein_concentrate,NFE,2.4,%
feedtables.com,Pea_protein_concentrate,Calcium,1.2,g/kg
feedtables.com,Pea_protein_concentrate,Phosphorus,4.5,g/kg
feedtables.com,Pea_protein_concentrate,Potassium,11.3,g/kg
feedtables.com,Pea_protein_concentrate,Minerals,1.7,%
feedtables.com,Corn_gluten_meal,Dry matter,90.9,%
feedtables.com,Corn_gluten_meal,Crude protein,61.4,%
feedtables.com,Corn_gluten_meal,Crude fibre,1.4,%
feedtables.com,Corn_gluten_meal,Crude fat,2.3,%
feedtables.com,Corn_gluten_meal,"Crude fat, hydrolysis",6,%
feedtables.com,Corn_gluten_meal,Ash,1.9,%
feedtables.com,Corn_gluten_meal,Insoluble ash,0.1,%
feedtables.com,Corn_gluten_meal,NDF,3.6,%
feedtables.com,Corn_gluten_meal,ADF,1.3,%
feedtables.com,Corn_gluten_meal,Lignin,0.2,%
feedtables.com,Corn_gluten_meal,Water insoluble cell walls,3.5,%
feedtables.com,Corn_gluten_meal,Starch,15.7,%
feedtables.com,Corn_gluten_meal,Total sugars,0.4,%
feedtables.com,Corn_gluten_meal,NFE,16.1,%
feedtables.com,Corn_gluten_meal,Calcium,0.3,g/kg
feedtables.com,Corn_gluten_meal,Phosphorus,3.9,g/kg
feedtables.com,Corn_gluten_meal,Phytate phosphorus,3.2,g/kg
feedtables.com,Corn_gluten_meal,Magnesium,0.5,g/kg
feedtables.com,Corn_gluten_meal,Potassium,1.2,g/kg
feedtables.com,Corn_gluten_meal,Sodium,0.83,g/kg
feedtables.com,Corn_gluten_meal,Chlorine,0.7,g/kg
feedtables.com,Corn_gluten_meal,Sulfur,5.9,g/kg
feedtables.com,Corn_gluten_meal,Manganese,10,mg/kg
feedtables.com,Corn_gluten_meal,Zinc,33,mg/kg
feedtables.com,Corn_gluten_meal,Copper,12,mg/kg
feedtables.com,Corn_gluten_meal,Iron,119,mg/kg
feedtables.com,Corn_gluten_meal,Selenium,0.2,mg/kg
