"Year","Month","NH"
2013,1,7.42207468750015
2013,2,6.97487119999939
2013,3,6.52766771249985
2013,4,3.4197913750003
2013,5,11.7062089374996
2013,6,8.0271147
2013,7,4.65993550000016
2013,8,6.01282
2013,9,8.5983326
2013,10,13.0478194
2013,11,8.1774352
2013,12,7.9068583
2014,1,7.6362814
2014,2,7.60621729999996
2014,3,7.5761532
2014,4,2.2247434
2014,5,19.6619214
2014,6,13.1680758
2014,7,6.6742302
2014,8,9.620512
2014,9,4.7501278
2014,10,9.8008966
2014,11,8.93655372499853
2014,12,8.07221084999941
2015,1,7.2078679750003
2015,2,6.34352509999882
2015,3,5.4791822249997
2015,4,4.61483935000059
2015,5,3.75049647499912
2015,6,2.8861536
2015,7,2.64564080000033
2015,8,2.405128
