"Year","Month","NO"
2013,1,237.014585312503
2013,2,188.392522499934
2013,3,139.770459687497
2013,4,38.3570856250067
2013,5,23.1273482291566
2013,6,9.23943791666667
2013,7,5.36730833333302
2013,8,8.43434166666667
2013,9,170.527053333333
2013,10,160.865898333333
2013,11,259.47102
2013,12,316.594515833333
2014,1,373.718011666667
2014,2,296.045392499894
2014,3,218.372773333333
2014,4,35.1175316666667
2014,5,24.2295633333333
2014,6,16.0252491666667
2014,7,7.820935
2014,8,13.4949466666667
2014,9,71.76858
2014,10,159.025678333333
2014,11,139.454171874967
2014,12,119.882665416653
2015,1,100.31115895834
2015,2,80.7396524999733
2015,3,61.16814604166
2015,4,41.5966395833467
2015,5,22.02513312498
2015,6,2.45362666666667
2015,7,2.91368166666604
2015,8,3.37373666666667
