date,year,mortality_biomass,total_biomass,feed,Prop.mort,,Abundance_calculated,,Mean_weight_calculated,,
01/01/2013,2013,4.415,1048,150.153,0.004212786,,,,,,
01/02/2013,2013,2.496,1125,123.801,0.002218667,,,,,,
01/03/2013,2013,2.608,554,67.496,0.004707581,,,,,,
01/04/2013,2013,1.144,152,19.143,0.007526316,,,,,,
01/05/2013,2013,0.1614,152,0,0.001061842,,,,,,
01/06/2013,2013,0,0,0,NA,,,,,,
01/07/2013,2013,0,0,0,NA,,,,,,
01/08/2013,2013,0,0,0,NA,,,,,,
01/09/2013,2013,0,0,0,NA,,,,,,
01/10/2013,2013,0.1624,45,8.479,0.003608889,,,,,,
01/11/2013,2013,0.0594,80,22.665,0.0007425,,,,,,
01/12/2013,2013,0.3113,126,39.65,0.002470635,,,,,,
01/01/2014,2014,0.3661,168,47.993,0.002179167,,,,,,
01/02/2014,2014,0.5547,224,48.741,0.002476339,,,,,,
01/03/2014,2014,1.0526,227,50.722,0.004637004,,,,,,
01/04/2014,2014,0.6051,292,66.277,0.00207226,,,,,,
01/05/2014,2014,0.3629,397,95.556,0.000914106,,,,,,
01/06/2014,2014,0.4792,525,129.719,0.000912762,,,,,,
01/07/2014,2014,0.313,697,174.835,0.000449067,,,,,,
01/08/2014,2014,0.4531,764,197.63,0.000593063,,,,,,
01/09/2014,2014,0.531,983,220.117,0.000540183,,,,,,
01/10/2014,2014,1.1688,1220,247.93,0.000958033,,,,,,
01/11/2014,2014,1.6439,1315,238.535,0.001250114,,,,,,
01/12/2014,2014,3.0035,1336,210.721,0.002248129,,,,,,
01/01/2015,2015,1.8493,1210,165.546,0.001528347,,,,,,
01/02/2015,2015,3.6302,1174,148.319,0.003092164,,307260,,3.82086832,,307260
01/03/2015,2015,4.126,988,106.128,0.004176113,,306309.9018,,3.22549155,,
01/04/2015,2015,2.8246,648,89.286,0.004358951,,305030.717,,2.124376215,,
01/05/2015,2015,1.6973,119,50.718,0.014263025,,303701.1031,,0.391832624,,
01/06/2015,2015,0,119,0,0,,299369.4066,,0.397502208,,
01/07/2015,2015,0,0,0,NA,,299369.4066,,0,,
01/08/2015,2015,0,0,0,NA,,,,,,
01/09/2015,2015,0,0,0,NA,,,,,,
01/10/2015,2015,0.1976,35,4.329,0.005645714,,,,,,
01/11/2015,2015,0.3794,76,29.407,0.004992105,,,,,,
01/12/2015,2015,0.9115,99,30.504,0.009207071,,,,,,
01/01/2016,2016,2.3571,144,44.417,0.01636875,,,,,,
01/02/2016,2016,1.7451,188,44.818,0.009282447,,,,,,
01/03/2016,2016,1.9673,249,54.97,0.007900803,,,,,,
01/04/2016,2016,1.4805,226,56.098,0.006550885,,,,,,
01/05/2016,2016,1.5867,289,66.966,0.005490311,,,,,,
01/06/2016,2016,1.2549,406,107.611,0.003090887,,,,,,
01/07/2016,2016,2.369,593,177.717,0.003994941,,,,,,
01/08/2016,2016,21.361,747,169.95,0.028595716,,,,,,
01/09/2016,2016,44.799,807,99.407,0.055513011,,,,,,
01/10/2016,2016,52.598,874,137.827,0.060180778,,,,,,
01/11/2016,2016,25.086,918,126.356,0.027326797,,,,,,
01/12/2016,2016,14.551,1019,136.773,0.014279686,,,,,,
