"","AA","A","B","C","D","E","FF","G","Volume"
"1","37325",0.00178360240170496,0,0,0,0,0,0,853650.290368493
"2","39061",0,0,0,0,0,0,0.000820457104784283,3074553.88697863
"3","39065",0,0,0,0,0,0,0.00365534804212207,1534501.4828893
"4","39068",0,0,0,0,0,0,0.00729969682409402,710578.23310151
"5","39069",0,0,0,0,0,0.00908269400956554,0.0181663501125978,270303.795624316
"6","39070",0,0,0,0,0,0,0.0080365276796786,321222.307458275
"7","39629",0,0,0,0,0,0.0016348849217218,0.0106359827716404,2975544.9369158
"8","39630",0,0,0,0,0,0.00900091100124004,0.0245422685890509,3159276.18826924
"9","39631",0,0,0,0,0,0.000820457104784283,0.0122948526834888,4217703.87199508
"10","39632",0,0,0,0,0,0,0.000842318814472893,3445741.03773746
"11","39633",0,0,0,0,0,0,0.00654556962577465,1447401.87699027
"12","39634",0,0,0,0,0,0.00581312754071219,0.0274319505191555,688598.081731103
"13","39635",0,0,0,0,0,0.00234937381913008,0.0340342706184216,1054048.02315908
"14","39636",0.00155297591434022,0,0,0,0.00415648708912321,0.0125005937022139,0.0198210916564912,683098.764726695
"15","39637",0,0,0,0,0,0.0153836561637961,0.0204371438766726,256786.613413569
"16","40207",0,0,0,0,0.00669090617424679,0.0193111920825545,0.0238419369554329,3448269.11200592
"17","40208",0,0,0,0,0.0061383550662652,0.024912933073082,0.0489835488853109,4015992.6566261
"18","40209",0,0,0,0,0,0.00818046756831028,0.0285885997696748,4534666.68314938
"19","40210",0,0,0,0,0,0.00102557138098035,0.00934238835449661,3735315.56636225
"20","40211",0,0,0,0,0.0010180619882897,0.021328391818742,0.0386580396251866,840999.21944447
"21","40212",0,0,0,0,0.0182735171974967,0.0518051936944799,0.0760952585957861,759149.809849681
"22","40213",0.0170138583487509,0.00678688581535472,0.0010180619882897,0.0253634675185346,0.0522421411015393,0.0922906944142524,0.0799116656415308,407112.618007056
"23","40214",0.037922097620991,0.0125946927835546,0.00330272129149807,0.0493836879888353,0.0440488923747054,0.0799412892589202,0.0379865926958573,641722.558480456
"24","40215",0.0259671295770306,0,0,0.00232206130774281,0.0292828595521254,0.0436106363485582,0.0504559748356018,509995.409951014
"25","40217",0,0,0,0,0,0.0272480820286966,0.0272509683090969,234687.37352372
"26","40793",0,0,0,0,0,0,0.00167183045016708,335045.385072136
"27","40794",0,0,0,0.00172105538869375,0.00445452882966242,0.00366653360189801,0.00469362692612893,391934.118779157
"28","40795",0,0,0,0.0016348849217218,0.022936864742976,0.0353483565747265,0.0369412461166237,3483402.05880339
"29","40796",0,0,0,0,0.0159952246283627,0.0537286855270038,0.0558141114999396,4032750.37836101
"30","40797",0,0,0,0,0.00306562474982405,0.0515894163844821,0.0443890227971085,2080671.76994105
"31","40798",0,0,0,0.00249008386605576,0.0183076738172261,0.0547502837841986,0.0644356326810188,3618010.81056335
"32","40799",0,0,0,0,0.00641572737228323,0.0201616013205189,0.05940816364663,2768271.09347803
"33","40800",0.00692312521276824,0.00346169647662637,0,0.0278298232365928,0.0880033976837144,0.119249515446689,0.0852541073668965,402643.450504181
"34","40801",0.0329950156975676,0.0339470325011883,0.00720508100801672,0.095527744977986,0.109306226299271,0.0949502321708763,0.0685042808855169,344729.60281131
"35","41424",0,0,0,0,0.00218529198394658,0.00320991446432079,0.00173033170475127,367382.172290881
"36","41425",0,0,0,0,0.000986046383000287,0.00286599505742928,0.00294797253402068,414153.723964071
"37","41426",0,0,0,0.0106299398119391,0.0312523054164698,0.0265505683162063,0.0232890927311762,3524747.0427531
"38","41427",0,0,0,0,0.0455052319908636,0.0512180072907443,0.0562306560348249,5233359.44626161
"39","41428",0,0,0,0.00160200162579065,0.0577005954175507,0.0469632926034977,0.083466854183747,3945637.44548625
"40","41429",0,0,0,0.000832959808600665,0.0531561579752133,0.0824000269459824,0.0573068418641632,2092161.16249417
"41","41430",0.0172736792849276,0.0229722449706691,0.00297983133083706,0.107138480340962,0.126038016566338,0.108052960308429,0.0816391702885688,372698.781872269
"42","41431",0.0116127925090783,0.026575524422303,0.00250733111769192,0.123602541125456,0.0782700269157386,0.0880285076365356,0.0385205514358238,435854.884902052
"43","42016",0,0,0,0.00580918466072609,0.0166717875357348,0.0166460935637922,0.0107644070585051,3045170.74933931
"44","42017",0,0,0,0.0135934646712443,0.0260020170542713,0.0236335596632896,0.0259808758098865,4477823.17340173
"45","42018",0,0,0,0.020193793980647,0.0481939434595899,0.0591870760870605,0.0491779296163814,3294646.70708807
"46","42019",0,0,0,0.0402116129643816,0.0653165011536767,0.0804030736151893,0.0799161277297567,3949681.33244635
"47","42020",0,0,0,0.0327781162827686,0.107405159484462,0.0925014207335497,0.0751485014052388,3584091.36510196
"48","42021",0.0128048291070892,0.0133493905812274,0.00166026444101028,0.141685233804663,0.118360567736603,0.10024808356467,0.0720290276242705,388830.903285304
"49","42022",0.0159988021938761,0.0513487152474553,0.0059266561234112,0.16173875168594,0.0634886461377771,0.0649959545390171,0.01863075751025,360505.090293132
"50","42585",0,0,0,0.00164092788142309,0.00244353865876373,0.00326574929514847,0.00330262925449551,2914737.74473405
"51","42586",0,0,0,0.00225072161117765,0.00447428467570102,0.00446722257399215,0.00540227816465949,3339858.61343573
"52","42587",0,0,0,0.0219652439675626,0.0294227817943206,0.0207273857619808,0.0334087569124259,3503894.30815504
"53","42588",0,0,0,0.0256319274583194,0.0704537106793778,0.0575534527290134,0.0591126869904235,2634030.84663183
"54","42589",0,0,0,0.0927087653449477,0.125068871967184,0.0874934714615987,0.0998603693497074,2941299.16788004
"55","42590",0,0,0,0.134417357114309,0.146229674699489,0.101978134109348,0.090655341073274,3119427.63367715
"56","42591",0.0137851435653594,0.0191536189275877,0.00395434593063073,0.20531611400339,0.125673188028656,0.0968251957525421,0.0602990587700659,519699.857487113
"57","42592",0.00809989021500814,0.023475341492419,0,0.0816796901786883,0,0,0,373762.046178621
"58","43181",0,0,0,0,0,0.000329240706621651,0.000164448674111143,3188134.92697704
"59","43182",0,0,0,0,0,0.000399071506944522,0.000397562256414257,3335848.90943953
"60","43183",0,0,0,0.00205354770627622,0.0119273337025602,0.0160111667801539,0.0158183200637134,4080539.261383
"61","43184",0,0,0,0.00987828555551859,0.0210717670583349,0.027717573513182,0.0241956673285363,3320705.5741896
"62","43185",0,0,0,0.106311474924224,0.102233867097725,0.115921922773163,0.0334245397939834,3635132.20429237
"63","43186",0,0,0,0.193224502333102,0.127812949889463,0.120379061281354,0.0548936808232644,2451004.54209038
"64","43187",0,0.0160377826257161,0.00145798023870147,0.0550192590966865,0.0082113441378769,0.00631432118493947,0.00265641735620477,461764.598936426
"65","43188",0,0,0,0.026427234469396,0,0,0,416428.977596818
"66","43750",0,0,0,0.000838877650118102,0.00339118502622034,0.00342954825002541,0.000789353635733488,4060248.68974258
"67","43751",0,0,0,0.00460029679097024,0.0125113537033871,0.0203947684780958,0.00841152176282129,3610620.96481171
"68","43755",0,0.00282759803869375,0,0.00617561452092066,0,0,0,412165.741972403
"69","44280",0,0,0,0.00605304432161332,0.00487626873996217,0,0,3475560.97902061
"70","44281",0,0,0,0.0139173896419296,0,0,0,2527414.77657472
"71","44283",0,0,0,0.0122053269424232,0,0,0,472030.538422693
"72","44284",0,0,0,0.00808504771446217,0.00217429137688555,0.000928651336157045,0,393894.266979693
"73","44808",0,0,0,0.00812694719489244,8.22243370555717e-05,0.000164448674111143,0,2291452.08849106
"74","44809",0,0,0,0.00300537290258071,0,0,0,644482.004828411
"75","44810",0,0,0,0.00363573397297703,0,0,0,494985.36544682
"76","44811",0,0,0,0.00290712545824645,0,0,0,379425.211452482
"77","46240",0,0,0,0.000822243370555717,0,0,0,361028.531046991
"78","46669",0,0,0,0.00320008230702765,0,0,0,672040.235609921
"79","A",0,0.0214773486992825,0.00644676248206139,0.1991968695023,0.0971770990891963,0.0878410354865137,0.0186205495644983,1388290.93505859
"80","B",0,0.00952928260589193,0.00133409956482487,0.104479816059052,0.00987850878603666,0.00114797467957512,0,1463419.96582031
