"","AA","A","B","C","D","E","FF","G","Volume"
"1","39630",0,0,0,0,0,0,0.00217391304347826,3159276.18826924
"2","39634",0,0,0,0.00193236714975845,0.00193236714975845,0.00289855072463768,0.00579710144927536,688598.081731103
"3","39635",0,0,0,0.00553359683794466,0.00632411067193676,0.00790513833992095,0.0102766798418972,1054048.02315908
"4","40212",0,0,0,0,0,0.000966183574879227,0.00579710144927536,759149.809849681
"5","40213",0,0,0,0.0260869565217391,0.0260869565217391,0.0322981366459627,0.0447204968944099,407112.618007056
"6","40215",0,0,0,0.00676328502415459,0.00869565217391304,0.00193236714975845,0.00483091787439614,509995.409951014
"7","40796",0,0,0,0,0,0.000869565217391304,0.0130434782608696,4032750.37836101
"8","40797",0,0,0,0,0,0.00316205533596838,0.0205533596837945,2080671.76994105
"9","40798",0,0,0,0.00260869565217391,0,0.00608695652173913,0.0165217391304348,3618010.81056335
"10","40799",0,0,0,0,0,0.000869565217391304,0.00173913043478261,2768271.09347803
"11","40800",0,0,0,0.0273291925465838,0.0273291925465838,0.0335403726708075,0.0335403726708075,402643.450504181
"12","40801",0,0,0,0.0211180124223602,0.0347826086956522,0.0360248447204969,0.0484472049689441,344729.60281131
"13","41426",0,0,0,0,0,0,0.00260869565217391,3524747.0427531
"14","41427",0,0,0,0,0,0.0104347826086957,0.0139130434782609,5233359.44626161
"15","41428",0,0,0,0,0,0.0173913043478261,0.0173913043478261,3945637.44548625
"16","41429",0,0,0,0,0,0.00948616600790514,0.0237154150197628,2092161.16249417
"17","41430",0,0,0,0.00760869565217391,0.0271739130434783,0.0467391304347826,0.0532608695652174,372698.781872269
"18","41431",0,0,0,0.031304347826087,0.0469565217391304,0.0765217391304348,0.0956521739130435,435854.884902052
"19","42018",0,0,0,0,0,0,0.00608695652173913,3294646.70708807
"20","42019",0,0,0,0,0.0165217391304348,0.0139130434782609,0.0252173913043478,3949681.33244635
"21","42020",0,0,0,0,0.0121739130434783,0.0173913043478261,0.0139130434782609,3584091.36510196
"22","42021",0,0,0,0.0164251207729469,0.0347826086956522,0.0483091787439614,0.0743961352657005,388830.903285304
"23","42022",0.0280193236714976,0,0,0.0434782608695652,0.104347826086957,0.11207729468599,0.0792270531400966,360505.090293132
"24","42587",0,0,0,0,0,0,0.0159420289855072,3503894.30815504
"25","42588",0,0,0,0,0,0.00676328502415459,0.0154589371980676,2634030.84663183
"26","42589",0,0,0,0.0104347826086957,0.0208695652173913,0.0347826086956522,0.0591304347826087,2941299.16788004
"27","42590",0,0,0,0.00193236714975845,0.0347826086956522,0.0405797101449275,0.0618357487922705,3119427.63367715
"28","42591",0.0165217391304348,0,0,0.0573913043478261,0.110434782608696,0.104347826086957,0.0973913043478261,519699.857487113
"29","42592",0.0732919254658385,0.00372670807453416,0,0.0583850931677019,0.104347826086957,0.154037267080745,0.0919254658385093,373762.046178621
"30","43182",0,0,0,0,0,0.00237154150197628,0.016600790513834,3335848.90943953
"31","43183",0.00248447204968944,0,0,0,0.00248447204968944,0.0236024844720497,0.0720496894409938,4080539.261383
"32","43184",0.00579710144927536,0,0,0,0,0.00289855072463768,0.0376811594202899,3320705.5741896
"33","43187",0.0695652173913043,0.0260869565217391,0.0130434782608696,0.0739130434782609,0.0695652173913043,0.134782608695652,0.117391304347826,461764.598936426
"34","43188",0.101449275362319,0.0376811594202899,0.00579710144927536,0.027536231884058,0.0420289855072464,0.111594202898551,0.0405797101449275,416428.977596818
"35","43747",0,0,0,0,0,0,0.00144927536231884,431080.526353721
"36","43748",0,0,0,0,0,0,0.0237154150197628,2776696.74368389
"37","43749",0.01256038647343,0,0,0,0.000966183574879227,0.0231884057971014,0.0521739130434783,2776827.70600969
"38","43750",0.0154589371980676,0.00483091787439614,0.000966183574879227,0.00193236714975845,0.0473429951690821,0.0628019323671498,0.0202898550724638,4060248.68974258
"39","43751",0.0173913043478261,0,0,0,0.00869565217391304,0.0405797101449275,0.0521739130434783,3610620.96481171
"40","43754",0.00108695652173913,0.0668478260869565,0.00615942028985507,0.130072463768116,0.0925724637681159,0.0478260869565217,0.00072463768115942,532092.850577762
"41","43755",0.0165952235150031,0.0792406613594611,0.00829761175750153,0.0877526025719535,0.060257195345989,0.0731781996325781,0.0050520514390692,412165.741972403
"42","44274",0,0,0,0,0,0,0.000869565217391304,340291.986298133
"43","44275",0,0,0,0,0,0,0.000869565217391304,339009.524210791
"44","44276",0,0,0,0,0,0,0.00386473429951691,468370.606470286
"45","44277",0.00217391304347826,0,0,0,0,0.0268115942028985,0.0231884057971014,2896988.64762583
"46","44278",0.00260869565217391,0.00521739130434783,0,0.00782608695652174,0.0408695652173913,0.0208695652173913,0.00956521739130435,3080918.94168459
"47","44279",0.0147826086956522,0.0217391304347826,0.00347826086956522,0.0739130434782609,0.0530434782608696,0.0356521739130435,0.0130434782608696,3518260.29627873
"48","44280",0.00869565217391304,0.0376811594202899,0.00193236714975845,0.0734299516908213,0.063768115942029,0.0434782608695652,0.0173913043478261,3475560.97902061
"49","44283",0,0,0,0.0739130434782609,0,0,0,472030.538422693
"50","44284",0.000552566526101498,0.0278900683437545,0.00293732732296059,0.17496001163298,0.0338519703359023,0.00535117056856187,0.00154136978333576,393894.266979693
"51","44802",0,0,0,0,0,0.000790513833992095,0,455711.054135952
